
=== dense ===
    C   sp   k  out  cuDNN_ms   win_ms   ratio  spread
   60   64   7   58     15.70    18.45    0.85  [0.79,0.92]
   60   64   9   56     26.27    30.06    0.87  [0.84,0.95]
   60   64  11   54     41.89    48.51    0.86  [0.85,0.88]
  120   16   3   14      0.04     0.08    0.44  [0.43,0.51]
  120   16   5   12      0.09     0.12    0.78  [0.69,0.82]
  120   16   7   10      0.14     0.16    0.86  [0.80,0.86]
  120   16   9    8      0.13     0.19    0.72  [0.69,0.82]
  120   16  11    6      0.12     0.16    0.75  [0.75,0.85]
  120   32   3   30      0.38     0.80    0.48  [0.38,0.49]
  120   32   5   28      1.58     1.70    0.93  [0.78,1.06]
  120   32   7   26      2.94     3.14    0.94  [0.86,1.00]
  120   32   9   24      4.59     4.81    0.95  [0.90,1.06]
  120   32  11   22      6.35     6.72    0.95  [0.85,1.00]
  120   64   3   62      3.46     7.31    0.47  [0.37,0.60]
  120   64   5   60     14.41    17.89    0.81  [0.67,0.87]
  120   64   7   58     32.00    36.05    0.89  [0.86,0.91]
  120   64   9   56     54.09    59.50    0.91  [0.88,0.92]
  120   64  11   54     87.20    93.92    0.93  [0.93,0.93]
  240   16   3   14      0.06     0.15    0.42  [0.42,0.62]
  240   16   5   12      0.18     0.22    0.81  [0.79,0.81]
  240   16   7   10      0.27     0.32    0.84  [0.74,0.86]
  240   16   9    8      0.25     0.28    0.88  [0.72,1.24]
  240   16  11    6      0.23     0.29    0.78  [0.60,1.01]
  240   32   3   30      0.83     1.69    0.49  [0.44,0.50]
  240   32   5   28      3.23     3.30    0.98  [0.84,1.03]
  240   32   7   26      6.04     6.73    0.90  [0.79,0.96]
  240   32   9   24      8.55    10.24    0.84  [0.65,0.95]
  240   32  11   22     11.72    14.10    0.83  [0.70,0.91]
  240   64   3   62      7.57    15.57    0.49  [0.46,0.61]
  240   64   5   60     29.10    35.37    0.82  [0.74,0.84]
  240   64   7   58     64.21    70.56    0.91  [0.89,0.92]
  240   64   9   56    107.36   118.92    0.90  [0.90,0.91]
  240   64  11   54    173.72   186.07    0.93  [0.93,0.94]

dense: windowed wins in 26/60 configurations
  best: C=30 sp=16 k=11 -> 2.36x

depthwise: windowed wins in 2/60 configurations
  best: C=30 sp=64 k=5 -> 1.03x
rule 'never wins at k=3': VIOLATED over 12 cells, worst trial 1.15
rule 'always wins at C>=240, k>=5': VIOLATED over 12 cells, worst trial 0.83
